linha_origem;cnes;co_unidade_original;nome;logradouro;numero;bairro;cep;municipio_gestor;tp_unidade;co_tipo_unidade;co_tipo_estabelecimento;latitude_original;longitude_original;latitude;longitude;candidata_upa_nome;status_cadastro;status_coordenadas;alertas
3;7633149;2,92741E+12;UPA 24H VALE DOS BARRIS;PRACA JOAO MANGABEIRA ROTULA AV VALE DOS BARRIS;S/N;BARRIS;40070055;292740;73;;008;-12.989.702.643.276.100;-3.851.191.073.656.080;-12.9897026432761;-38.5119107365608;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
4;7894015;2,92741E+12;UPA 24H PARQUE SAO CRISTOVAO;RUA MARCOS MOREIRA SOLTER;S/N;PARQUE SAO CRISTOVAO;41510808;292740;73;;008;-129.073.338;-383.678.885;-12.9073338;-38.3678885;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
7;7521316;2,92741E+12;UPA 24H SAN MARTIN;RUA DO FORNO;S/N;SAN MARTIN;40010010;292740;73;;008;-12.946.831.130.517.200;-3.848.111.629.486.080;-12.9468311305172;-38.4811162948608;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
32;9019308;2,92741E+12;UPA 24H PARIPE;AV SAO LUIS ANTIGA ESTRADA DE SAO TOME DE PARIPE;S/N;PARIPE;40717180;292740;73;;008;-12.832.828.511.386.200;-3.846.532.613.039.010;-12.8328285113862;-38.4653261303901;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
35;7596871;2,92741E+12;UPA DO CABULA;ESTRADA SABOEIRO;S/N;SABOEIRO;41180900;292740;73;;008;-1.295.658.124.536.190;-3.845.121.502.876.280;-12.9565812453619;-38.4512150287628;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
40;0004774;2,9274E+12;UPA 24H PROF ADROALDO ALBERGARIA;RUA DAS PEDRINHAS;358;PERIPERI;41200020;292740;73;;008;-129.243.691;-383.570.158;-12.9243691;-38.3570158;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
41;7476469;2,92741E+12;UPA 24H VALERIA;RUA DO LAVRADOR;S/N;VALERIA;41300470;292740;73;;008;-128.660.369;-384.385.456;-12.8660369;-38.4385456;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
43;0204595;2,9274E+12;UPA 24H CIDADE BAIXA SANTO ANTONIO;AVENIDA DENDENZEIROS;01;BONFIM;40420010;292740;73;;008;-13.014.572.153.910.400;-38.488.004.207.611.000;-13.0145721539104;-38.488004207611;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
44;9030158;2,92741E+12;UPA 24H PIRAJA SANTO INACIO;RUA DIRETA DE SANTO INACIO;S/N;SANTO INACIO;41231010;292740;73;;008;-129.316.724;-384.638.383;-12.9316724;-38.4638383;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
84;7986076;2,92741E+12;UPA 24H BROTAS;RUA JARDIM MADALENA;461;BROTAS;40285505;292740;73;;008;-129.865.036;-38.481.789;-12.9865036;-38.481789;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
