linha_origem;cnes;co_unidade_original;nome;logradouro;numero;bairro;cep;municipio_gestor;tp_unidade;co_tipo_unidade;co_tipo_estabelecimento;latitude_original;longitude_original;latitude;longitude;candidata_upa_nome;status_cadastro;status_coordenadas;alertas
2;6995195;2,92741E+12;MOTOLANCIA MT 06 A;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.299.708.001.400;-3.848.756.432.533.260;-12.9592997080014;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
3;7633149;2,92741E+12;UPA 24H VALE DOS BARRIS;PRACA JOAO MANGABEIRA ROTULA AV VALE DOS BARRIS;S/N;BARRIS;40070055;292740;73;;008;-12.989.702.643.276.100;-3.851.191.073.656.080;-12.9897026432761;-38.5119107365608;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
4;7894015;2,92741E+12;UPA 24H PARQUE SAO CRISTOVAO;RUA MARCOS MOREIRA SOLTER;S/N;PARQUE SAO CRISTOVAO;41510808;292740;73;;008;-129.073.338;-383.678.885;-12.9073338;-38.3678885;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
5;0296473;2,9274E+12;UNIDADE DE SUPORTE BASICO CB 28;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40310000;292740;42;;008;-12.959.247.430.153.600;-3.848.766.088.485.710;-12.9592474301536;-38.4876608848571;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
6;0297283;2,9274E+12;UNIDADE DE SUPORTE BASICO BR 66;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-12.959.284.024.648.300;-3.848.755.359.649.650;-12.9592840246483;-38.4875535964965;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
7;7521316;2,92741E+12;UPA 24H SAN MARTIN;RUA DO FORNO;S/N;SAN MARTIN;40010010;292740;73;;008;-12.946.831.130.517.200;-3.848.111.629.486.080;-12.9468311305172;-38.4811162948608;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
8;9729968;2,92741E+12;PA ORLANDO IMBASSAHY;RUA TANCREDO NEVES;S/N;BAIRRO DA PAZ;41515235;292740;73;;008;-129.347.709;-383.808.146;-12.9347709;-38.3808146;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
9;7013833;2,92741E+12;MOTOLANCIA MT 07 A;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.278.796.863.600;-3.848.756.432.533.260;-12.9592787968636;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
10;6987168;2,92741E+12;UNIDADE DE SUPORTE BASICO BR 61;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.278.796.863.600;-3.848.758.041.858.670;-12.9592787968636;-38.4875804185867;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
11;6987176;2,92741E+12;UNIDADE DE SUPORTE BASICO BR 62;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.278.796.863.600;-3.848.754.823.207.850;-12.9592787968636;-38.4875482320785;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
12;6987249;2,92741E+12;UNIDADE DE SUPORTE BASICO PR 35;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.284.024.648.300;-3.848.758.041.858.670;-12.9592840246483;-38.4875804185867;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
13;6987257;2,92741E+12;UNIDADE DE SUPORTE BASICO CB 25;RUA MARQUES DE MARICA COMPLEXO CESSAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.278.796.863.600;-3.848.756.968.975.060;-12.9592787968636;-38.4875696897506;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
14;6987273;2,92741E+12;UNIDADE DE SUPORTE BASICO CC 72;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.174.241.148.300;-3.848.765.015.602.110;-12.9591742411483;-38.4876501560211;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
15;6987303;2,92741E+12;UNIDADE DE SUPORTE BASICO CN 13;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.273.569.078.900;-3.848.756.968.975.060;-12.9592735690789;-38.4875696897506;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
16;6987311;2,92741E+12;UNIDADE DE SUPORTE BASICO CN 12;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.310.163.569.700;-3.848.759.651.184.080;-12.9593101635697;-38.4875965118408;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
17;6987370;2,92741E+12;UNIDADE DE SUPORTE BASICO PM 41;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-1.295.929.448.021.720;-384.875.750.541.687;-12.9592944802172;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
